Brand,Price,Released Date,OS,Display,Camera,RAM,Battery
Realme,"৳25,000.00","2022, November 11","Android 12, Realme UI 3.0","6.6"" 1080x2408 pixels",50MP 1080p,8GB RAM Dimensity 700,5000mAh Li-Po
Motorola,"৳15,000.00","2022, October 24",Android 12,"6.52"" 720x1600 pixels",13MP 1080p,2GB RAM MT6739,5150mAh Li-Po
Samsung,Coming soon,Not announced yet,Android 12,"6.7"" 1080x2640 pixels",12MP 2160p,8GB RAM Snapdragon 8 Gen 1+,3700mAh Li-Po
Samsung,Coming soon,Not announced yet,Android 12L,"7.6"" 1768x2208 pixels",50MP 2160p,12GB RAM Snapdragon 8+ Gen 1,4400mAh Li-Po
Symphony,"৳7,199.00","2022, October",Android 11,"6.6"" 720x1600 pixels",5MP 1080p,2GB RAM,4050mAh Li-Po
Samsung,"৳14,899.00 ৳15,699.00","2022, November 07","Android 12, One UI Core 4.1","6.5"" 720x1600 pixels",13MP 1080p,3/4GB RAM,5000mAh Li-Po
Oppo,"৳185,000.00","2022, December","Android 13, ColorOS 13","7.1"" 1792x1920 pixels",50MP 2160p,12/16GB RAM Snapdragon 8+ Gen 1,4520mAh Li-Po
Honor,"৳20,000.00","2022, October 28","Android 12, Magic UI 6.1","6.74"" 720x1600 pixels",50MP 1080p,6/8GB RAM Dimensity 700,6000mAh Li-Po
Itel,"৳10,190.00 ৳9,690.00","2022, October",Android 11,"6.6"" 720x1080 pixels",8MP 1080p,3/4GB RAM,5000mAh Li-Po
Itel,"৳7,990.00","2022, October",Android 11,"6.3"" 720 x 1600 pixels",5MP 720P,2GB RAM Unisoc SC9832e,4000mAh Li-Ion
Xiaomi,"৳38,000.00","2023, May","Android 13, MIUI 14 for POCO","6.67"" 1080x2400 pixels",64MP 2160p,8/12GB RAM Snapdragon 7+ Gen 2,5000mAh Li-Po
Infinix,"৳25,000.00","2022, October 06","Android 12, XOS 10.6","6.6"" 1080x2408 pixels",50MP 1440p,4GB RAM Dimensity 810,5000mAh Li-Po
Samsung,"৳22,000.00","2023, April 11","Android 13, One UI 5.1","6.7"" 1080x2408 pixels",108MP 2160p,8GB RAM Exynos 1380,6000mAh Li-Po
Doogee,"৳25,000.00","2022, October 13",Android 12,"6.22"" 720x1520 pixels",48MP 2160p,8GB RAM Helio G95,6350mAh Li-Po
Honor,Coming soon,Not announced yet,Android 12,"6.78"" 1200x2652 pixels",54MP 2160p,8/12GB RAM Dimensity 9000,5000mAh Li-Po
Honor,"৳60,000.00","2022, November 23","Android 12, Magic UI 7","6.78"" 1200x2652 pixels",160MP 2160p,8/12GB RAM Snapdragon 8+ Gen 1,4800mAh Li-Po
Honor,"৳40,000.00","2022, November 23","Android 12, Magic UI 7","6.67"" 1080x2400 pixels",160MP 2160p,8/12GB RAM Snapdragon 782G,4800mAh Li-Po
OnePlus,Coming soon,Not announced yet,Android 12,"6.7"" 1080x2400 pixels",64MP 2160p,12GB RAM Snapdragon 695 5G,4500mAh Li-Po
Realme,"৳36,000.00 ৳33,000.00","2022, November 24","Android 13, Realme UI 4.0","6.7"" 1080x2400 pixels",108MP 2160p,8/12GB RAM Dimensity 1080,5000mAh Li-Po
Infinix,Coming soon,"2022, October 13","Android 12, XOS 10.6","6.78"" 1080x2460 pixels",50MP 1080p,8GB RAM Helio G96,5000mAh Li-Ion
Realme,"৳27,000.00 ৳26,500.00","2022, November 24","Android 13, Realme UI 4.0","6.72"" 1080x2400 pixels",108MP 1080p,8/12GB RAM Snapdragon 695 5G,5000mAh Li-Po
Infinix,Coming soon,"2022, October 13","Android 12, XOS 10.6","6.82"" 720x1640 pixels",50MP 1080p,6GB RAM Helio G85,5000mAh Li-Ion
Honor,"৳15,000.00","2022, October 15","Android 11, Magic UI 5.0","6.5"" 720x1600 pixels",13MP 1080p,6/8GB RAM Snapdragon 480+ 5G,5000mAh Li-Po
Infinix,"৳15,000.00","2022, October 13","Android 12, XOS 10.6","6.82"" 720x1640 pixels",13MP 1080p,4GB RAM Helio G37,6000mAh Li-Ion
Infinix,"৳18,999.00","2022, October 13","Android 12, XOS 10.6","6.78"" 1080x2460 pixels",50MP 1440p,8GB RAM Helio G96,5000mAh Li-Ion
Honor,Coming soon,Not announced yet,Android 12,"6.67"" 1080x2400 pixels",54MP 2160p,8/12GB RAM Snapdragon 778G+ 5G,4800mAh Li-Ion
Tecno,"৳26,990.00","2022, October","Android 12, HIOS","6.66"" 1080x2460 pixels",50MP 1440p,8GB RAM Helio G99,6000mAh Li-Po
Infinix,"৳11,499.00","2022, September 28","Android 12, XOS 10.6","6.6"" 720x1612 pixels",13MP 1080p,3/4GB RAM Helio G25,5000mAh Li-Ion
Motorola,"৳15,000.00","2022, October 07",Android 12,"6.5"" 720x1600 pixels",50MP 1080p,4GB RAM MT6765V,5000mAh Li-Po
Itel,"৳6,990.00 ৳5,990.00","2022, October",Android 11,"5.0"" 720 x 1520 pixels",2MP 720P,2GB RAM Unisoc SC9832e,3020mAh Li-Ion
Honor,"৳30,000.00","2022, October 18","Android 12, Magic UI 6.1","6.81"" 1080x2388 pixels",50MP 2160p,8/12GB RAM Snapdragon 888 5G,4800mAh Li-Po
Lava,"৳10,000.00","2022, October",Android 12,"6.52"" 720x1600 pixels",13MP 1080p,3GB RAM Mediatek Helio,5000mAh Li-Po
Lava,"৳20,000.00","2022, October24",Android 12,"6.52"" 720x1600 pixels",50MP 1080p,4GB RAM Dimensity 700,5000mAh Li-Po
Vivo,Coming soon,Not announced yet,Android 12,"6.51"" 720x1600 pixels",13MP 1080p,8GB RAM Dimensity 700,5000mAh Li-Po
Oppo,"৳55,000.00","2022, December 02","Android 13, ColorOS 13","6.7"" 1080x2412 pixels",64MP 1080p,8/12GB RAM Snapdragon 778G 5G,4500mAh Li-Po
Infinix,"৳15,000.00","2022, September","Android 12, XOS 10.6","6.7"" 1080x2400 pixels",50MP 1080p,4/6GB RAM Helio G85,5000mAh Li-Po
Vivo,"৳22,000.00","2022, September 29","Android 11, OriginOS 11","6.58"" 1080x2408 pixels",50MP 1080p,8/12GB RAM Dimensity 700,6000mAh Li-Po
Infinix,"৳19,999.00","2022, September 27","Android 12, XOS 10.6","6.7"" 1080x2400 pixels",50MP 1440p,8GB RAM Helio G99,5000mAh Li-Po
Xiaomi,Coming soon,Cancelled,"Android 12, MIUI 13","6.55"" 1080x2400 pixels",50MP 2160p,8/12GB RAM Snapdragon 7 Gen 1,4500mAh Li-Po
Walton,"৳12,999.00","2022, September",Android 12,"6.82"" 720 x 1640 pixels",13MP 1080P,4GB RAM Helio A22,4200mAh Li-po
Xiaomi,"৳18,000.00","Expected announcement 2022, September 30","Android 12, MIUI 13","6.58"" 1080x2408 pixels",13MP 1080p,4-8GB RAM Dimensity 700,5000mAh Li-Po
Huawei,"৳40,000.00","2022, October 25","EMUI 12, no Google Play Services","6.67"" 1080x2400 pixels",108MP 1080p,6/8GB RAM Snapdragon 680G 4G,4500mAh Li-Po
Ulefone,"৳20,000.00","2022, September 16",Android 12,"5.45"" 720x1440 pixels",16MP 1080p,4GB RAM Helio G25,8150mAh Li-Po
Ulefone,"৳25,000.00","2022, September 16",Android 12,"5.93"" 720x1440 pixels",16MP 1080p,4GB RAM Helio G25,9600mAh Li-Po
Oppo,"৳120,000.00","2023, March 24","Android 13, ColorOS 13.1","6.74"" 1440x3168 pixels",50MP 2160p,12/16GB RAM Dimensity 9200,4800mAh Li-Po
ZTE,"৳25,000.00","2022, September 26","Android 12, MyOS 12","6.92"" 1080x2460 pixels",64MP 2160p,8/12GB RAM Snapdragon 870 5G,4200mAh Li-Ion
Xiaomi,Coming soon,Not announced yet,Android 12,"6.67"" 1080x2400 pixels",108MP 2160p,6/8GB RAM Dimensity 920 5G,6000mAh Li-Po
Realme,Coming soon,Not announced yet,Android 12,"6.62"" 1080x2400 pixels",64MP 2160p,8GB RAM Snapdragon 870 5G,5000mAh Li-Po
BLU,"৳8,000.00","2022, July",Android 11,"5.7"" 480x960 pixels",5MP 720p,2GB RAM,2700mAh Li-Ion
BLU,"৳7,000.00","2022, July",Android 11,"5.0"" 480x854 pixels",5MP 720p,1GB RAM,2000mAh Li-Ion
BLU,"৳12,000.00","2022, June",Android 11,"6.0"" 720x1440 pixels",13MP 1080p,3GB RAM,3000mAh Li-Ion
Vivo,"৳135,000.00","2022, December 06","Android 13, Funtouch, Origin OS 3","6.78"" 1440x3200 pixels",64MP 4320p,12GB RAM Snapdragon 8 Gen 2,4700mAh Li-Po
Vivo,"৳115,000.00","2022, December 06","Android 13, Funtouch, Origin OS 3","6.78"" 1260x2800 pixels",50MP 4320p,8/12GB RAM Dimensity 9200,4870mAh Li-Po
Vivo,"৳70,000.00","2022, November 30","Android 13, Funtouch, Origin OS 3","6.78"" 1260x2800 pixels",50MP 2160p,8/12GB RAM Dimensity 9200,4810mAh Li-Po
Honor,"৳13,500.00","2022, September 21","Android 12, Magic UI 6.1","6.5""720x1600 pixels",50MP 1080p,4GB RAM Helio G25,5000mAh Li-Po
Vivo,Coming soon,Not announced yet,Android 12,"6.51"" 720x1600 pixels",13MP 2160p,4-8GB RAM Snapdragon 680 4G,5000mAh Li-Po
Vivo,"৳20,000.00","2022, September","Android 12, Origin OS Ocean","6.51"" 720x1600 pixels",13MP 1080p,8GB RAM Dimensity 700,5000mAh Li-Po
Infinix,"৳25,000.00","2022, December 01","Android 12, XOS 12","6.78"" 1080x2460 pixels",50MP 2160p,8GB RAM Dimensity 1080,5000mAh Li-Po
Realme,"৳16,500.00 ৳15,500.00","2022, November 11","Android 12, Realme UI 3.0","6.4"" 1080x2400 pixels",50MP 1080p,4-8GB RAM Helio G99,5000mAh Li-Po
OnePlus,Coming soon,Not announced yet,Android 12,"6.7"" 1080x2412 pixels",50MP 2160p,8/12GB RAM Dimensity 8100,5000mAh Li-Po
Vivo,"৳95,000.00","2022, December 21","Android 13, Funtouch 13, Origin OS 3","6.78"" 1440x3200 pixels",50MP 4320p,8-16GB RAM Snapdragon 8 Gen 2,4700mAh Li-Po
Vivo,"৳82,000.00","2022, December 08","Android 13, Funtouch 13, Origin OS 3","6.78"" 1440x3120 pixels",50MP 2160p,8/12GB RAM Snapdragon 8 Gen 2,5000mAh Li-
Motorola,"৳15,000.00","2022, October 11",Android 12,"6.5"" 720x1600 pixels",16MP 1080p,3/4GB RAM MT6765V,4020mAh Li-Po
Oppo,"৳29,990.00","2022, October",Android 12,"6.43"" 1080x2400 pixels",64MP 1080p,8GB RAM Helio G35 SoC,4500mAh Li-Po
Tecno,"৳28,000.00",Not announced yet,Android 12,"6.8"" 1080x2460 pixels",64MP 1080p,8GB RAM Dimensity 810,5000mAh Li-Po
Vivo,"৳150,000.00","2022, September 29","Android 12, Origin OS Ocean","8.03"" 1916x2160 pixels",50MP 4320p,12GB RAM Snapdragon 8+ Gen 1,4730mAh Li-Po
Asus,"৳130,000.00","2022, October 10",Android 12,"6.78"" 1080x2448 pixels",50MP 2160p,12/16GB RAM Snapdragon 8+ Gen 1,6000mAh Li-Po
Xiaomi,"৳18,000.00","2022, September 08","Android 12, MIUI 13","6.58"" 1080x2400 pixels",50MP 1080p,4/6GB RAM Helio G99,5000mAh Li-Po
Lava,"৳15,000.00","2022, September",Android 12,"6.52"" 720x1600 pixels",50MP 1080p,4GB RAM MT6765V,5000mAh Li-Po
Vivo,"৳30,000.00","2022, November","Android 11, Origin OS Ocean","6.58"" 1080x2408 pixels",64MP 2160p,8/12GB RAM Dimensity 700,5000mAh Li-Po
Apple,"৳112,000.00","2022, October 07","iOS 16, up to iOS 16.0.2","6.7"" 1284x2778 pixels",12MP 2160p,6GB RAM Apple A15 Bionic,4323mAh Li-Ion
Walton,"৳11,499.00 ৳11,999.00","2022, September",Android 11,"6.5"" 720 x 1600 pixels",13MP 1080P,3GB RAM Unisoc Tiger T610,4900mAh Li-po
Symphony,"৳7,000.00 ৳5,599.00",2022 September,Android 11,"5.45"" 720x1440 pixels",5MP 1080p,2GB RAM SC9832E,2600 mAh Li-ion
Xiaomi,"৳18,500.00 ৳15,000.00","2022, September 23","Android 12, MIUI 13","6.58"" 1080x2408 pixels",50MP 1080p,4/6GB RAM Helio G99,5000mAh Li-Po
Huawei,"৳28,000.00","2022, September 26",HarmonyOS 2.0,"6.6"" 1080x2400 pixels",64MP 1080p,-,4000mAh Li-Po
Oppo,"৳25,000.00","2022, November 10","Android 12, ColorOS 12.1","6.56"" 720x1612 pixels",50MP 1080p,6/8GB RAM Dimensity 700,5000mAh Li-Po
Realme,"৳10,999.00 ৳9,999.00","2022, September 23","Android 12, Realme UI Go","6.5"" 720x1600 pixels",8MP 1080p,2-4GB RAM,5000mAh Li-Po
Nokia,"৳35,000.00","2022, September 01",Android 12,"6.58"" 1080x2408 pixels",50MP 1080p,4/6GB RAM Snapdragon 695 5G,4500mAh Li-Po
Nokia,"৳25,000.00","2022, September 01",Android 12,"6.75"" 720x1600 pixels",13MP 1080p,3/4GB RAM Unisoc SC9863A,5050mAh Li-Po
Motorola,"৳14,999.00","2022, October 22",Android 12,"6.5"" 720x1600 pixels",16MP 1080p,4GB RAM MT6765V,5000mAh Li-Po
Asus,"৳130,000.00","2022, October 07",Android 12,"6.78"" 1080x2448 pixels",50MP 2160p,16GB RAM Dimensity 9000+,6000mAh Li-Po
Oppo,"৳20,000.00","2022, August 31","Android 12, ColorOS 12.1","6.56"" 720x1612 pixels",13MP 1080p,4GB RAM Helio G35,5000mAh Li-Po
Oppo,"৳12,990.00 ৳11,990.00","2022, October 18","Android 12, ColorOS 12.1","6.56"" 720x1612 pixels",8MP 1080p,3GB RAM Helio G35,5000mAh Li-Po
Xiaomi,"৳14,000.00","2023, January 10",Android 12,"6.52"" 720x1600 pixels",8MP 1080p,2/3GB RAM Helio A22,5000mAh Li-Po
Tecno,"৳18,990.00 ৳16,490.00","2022, October 03","Android 12, HIOS 8.6","6.82"" 720x1640 pixels",16MP 1080p,4/6GB RAM Helio G85,7000mAh Li-Po
Oppo,"৳24,990.00","2022, October 07","Android 12, ColorOS 12.1","6.56"" 720x1612 pixels",50MP 1080p,8GB RAM Snapdragon 680 4G,5000mAh Li-Po
Doogee,"৳35,000.00","2022, August 25",Android 12,"6.3"" 1080x2340 pixels",64MP 1440p,8GB RAM Helio P90,12000mAh Li-Po
Doogee,"৳30,000.00","2022, August 28",Android 12,"6.3"" 1080x2340 pixels",48MP 1440p,8GB RAM Helio P90,12000mAh Li-Po
Motorola,"৳32,000.00","2022, October 3",Android 12,"6.55"" 1080x2460 pixels",108MP 2160p,6GB RAM Helio G99,5000mAh Li-Po
Xiaomi,"৳30,000.00","2022, August 31","Android 11, MIUI 12.5","6.43"" 1080x2400 pixels",64MP 2160p,6/8GB RAM Helio G95,5000mAh Li-Po
Xiaomi,"৳25,000.00","2022, September 05","Android 12, MIUI 13","6.43"" 1080x2400 pixels",64MP 2160p,4/6GB RAM Helio G95,5000mAh Li-Po
Xiaomi,Coming soon,Not announced yet,Android 11,"6.53"" 1080x2340 pixels",64MP 1080p,6GB RAM Snapdragon 662,4500mAh Li-Po
Asus,"৳100,000.00","2022, October 11",Android 12,"6.78"" 1080x2448 pixels",50MP 2160p,12/16GB RAM Dimensity 9000+,6000mAh Li-Po
Vivo,"৳25,000.00","2022, September 01","Android 12, Origin OS Ocean","6.64"" 1080x2400 pixels",64MP 2160p,8/12GB RAM Snapdragon 778G+ 5G,4500mAh Li-Po
Vivo,"৳34,000.00","2023, September 05","Android 13, Funtouch 13","6.78"" 1080x2400 pixels",64MP 1080p,8GB RAM Dimensity 7200,4600mAh Li-Po
Vivo,"৳30,000.00","2023, March 21","Android 13, Funtouch 13","6.38"" 1080x2408 pixels",64MP 1080p,6/8GB RAM Dimensity 920,4500mAh Li-Po
Xiaomi,"৳11,999.00 ৳10,999.00","2022, September 23","Android 12, MIUI 12","6.52"" 720x1600 pixels",8MP 1080p,2/3GB RAM Helio A22,5000mAh Li-Po
Vivo,Coming soon,Cancelled,"Android 12, Origin OS Ocean","6.58"" 1080x2408 pixels",50MP 1080p,8GB RAM Dimensity 810,5000mAh Li-Po
Infinix,"৳35,000.00","2022, September 27","Android 12, XOS 12","6.7"" 1080x2400 pixels",108MP 1440p,8GB RAM Helio G99,4500mAh Li-Po
Motorola,"৳50,000.00","2022, September 22","Android 12, planned upgrade to Android 13","6.6"" 1080x2400 pixels",50MP 2160p,8GB RAM Dimensity 1050,5000mAh Li-Po
Vivo,Coming soon,Not announced yet,Android 12,"8.03"" 1916x2160 pixels",50MP 2160p,12GB RAM Snapdragon 8 Gen 1,5000mAh Li-Po
ZTE,Coming soon,Not announced yet,Android 11,"6.92"" 1080x2460 pixels",64MP 2160p,8GB RAM Snapdragon 888,4500mAh Li-Ion
Realme,"৳12,999.00 ৳13,999.00","2022, September 12","Android 12, Realme UI S","6.5"" 720x1600 pixels",50MP 1080p,3/4GB RAM Unisoc Tiger T612,5000mAh Li-Po
Vivo,"৳17,000.00","2022, September 14","Android 12, Funtouch 12","6.58"" 1080x2408 pixels",50MP 1080p,4/6GB RAM Snapdragon 4 Gen 1,5000mAh Li-Po
Huawei,"৳190,000.00","2022, September 21",HarmonyOS 3.0,"6.74"" 1212x2616 pixels",50MP 2160p,12GB RAM Snapdragon 8+ 4G Gen 1,4700mAh Li-Po
Huawei,"৳60,000.00","2022, October 23",HarmonyOS 3.0,"6.7"" 1224x2700 pixels",50MP 2160p,8GB RAM Snapdragon 778G 5G,4460mAh Li-Po
Vivo,"৳21,999.00 ৳22,999.00","2022, August 23","Android 12, Funtouch 12","6.55"" 720x1612 pixels",50MP 1080p,8GB RAM Snapdragon 680 4G,5000mAh Li-Ion
Xiaomi,"৳15,500.00","2022, May 05","Android 11, MIUI 13","6.58"" 1080x2408 pixels",50MP 1080p,4/6GB RAM Dimensity 700,5000mAh Li-Po
Motorola,"৳15,000.00","2022, October 11",Android 12,"6.5"" 720x1600 pixels",16MP 1080p,2GB RAM MT6765V,4020mAh Li-Po
Ulefone,"৳30,000.00","2022, August 10",Android 12,"5.45"" 720x1440 pixels",13MP 1080p,6GB RAM Helio G35,6600mAh Li-Po
Xiaomi,"৳9,190.00 ৳8,999.00","2022, September 09","Android 12, MIUI 12","6.52"" 720x1600 pixels",8MP 1080p,2GB RAM Helio A22,5000mAh Li-Po
Vivo,"৳25,000.00","2022, August 12","Android 12, Origin OS Ocean","6.58"" 1080x2408 pixels",13MP 1080p,6/8GB RAM Dimensity 810,5000mAh Li-Po
BLU,"৳25,000.00","2022, August 11",Android 11,"6.6"" 1080x2340 pixels",64MP 1080p,8GB RAM Dimensity 810,4200mAh Li-Po
Motorola,"৳27,000.00","2022, August 19",Android 12,"6.5"" 1080x2400 pixels",50MP 1080p,6/8GB RAM Snapdragon 695 5G,5000mAh Li-Po
Vivo,"৳37,000.00","2023, February 16","Android 13, Origin OS 3","6.78"" 1080x2400 pixels",64MP 2160p,8/12GB RAM Dimensity 8200,5000mAh Li-Po
Samsung,Coming soon,Not announced yet,Android 12,"6.4"" 1080x2400 pixels",64MP 2160p,4-8GB RAM Snapdragon 720G,5000mAh Li-Po
Samsung,"৳299,999.00","2023, August 11","Android 13, One UI 5.1.1","7.6"" 1812x2176 pixels",50MP 2160p,12GB RAM Snapdragon 8 Gen 2,4400mAh Li-Po
Samsung,"৳183,999.00","2023, August 11","Android 13, One UI 5.1.1","6.7"" 1080x2640 pixels",12MP 2160p,8GB RAM Snapdragon 8 Gen 2,3700mAh Li-Po
Vivo,"৳20,000.00","2022, September 01","Android 11, Origin OS Ocean","6.58"" 1080x2408 pixels",50MP 1080p,6/8GB RAM Dimensity 810,6000mAh Li-Po
Oppo,"৳35,000.00","2022, August 26","Android 12, ColorOS 12.1","6.43"" 1080x2400 pixels",64MP 1080p,8GB RAM Snapdragon 680 4G,4500mAh Li-Po
Motorola,"৳55,000.00","2022, August 11","Android 12, MYUI 4.0","6.7"" 1080x2400 pixels",200MP 4320p,8/12GB RAM Snapdragon 8+ Gen 1,4610mAh Li-Po
Xiaomi,Coming soon,Not announced yet,Android 12,"6.67"" 1080x2400 pixels",50MP 2160p,8/12GB RAM Snapdragon 8+ Gen 1,5000mAh Li-Po
Alcatel,"৳12,000.00","2022, May 31",Android 11,"5.5"" 720x1440 pixels",8MP 1080p,2GB RAM Helio A22,3000mAh Li-Ion
Oppo,"৳19,990.00 ৳17,990.00","2022, August 3","Android 12, ColorOS 12.1","6.56"" 720x1612 pixels",50MP 1080p,4GB RAM Helio G35,5000mAh Li-Po
Oppo,Coming soon,Not announced yet,Android 11,"7.1"" 1792x1920 pixels",50MP 2160p,8/12GB RAM Snapdragon 888 5G,4500mAh Li-Po
Motorola,"৳40,000.00","2022, October 07",Android 12,"6.28"" 1080x2400 pixels",64MP 1080p,6/8GB RAM Snapdragon 695 5G,4020mAh Li-Po
Vivo,"৳22,000.00","2022, August 15","Android 11, Funtouch 12","6.58"" 1080x2408 pixels",50MP 1080p,8GB RAM Snapdragon 680 4G,5000mAh Li-Po
Nothing,Coming soon,Not announced yet,Android 12,"6.55"" 1440x3216 pixels",50MP 2160p,8/12GB RAM Snapdragon 778G+ 5G,4500mAh Li-Po
Infinix,"৳20,000.00","2022, August 02","Android 12, XOS 10.6","6.6"" 720x1612 pixels",50MP 1080p,8GB RAM Unisoc Tiger T616,5000mAh Li-Ion
Motorola,"৳80,000.00","2022, August 11","Android 12, MYUI 4.0","6.55"" 1080x2400 pixels",50MP 2160p,8/12GB RAM Snapdragon 888+ 5G,4400mAh Li-Po
Infinix,"৳12,000.00","2022, August 03",Android 12,"6.82"" 720x1600 pixels",8MP 1080p,3GB RAM Helio G25,5000mAh Li-Po
Tecno,"৳12,000.00","2022, August 6","Android 11, HIOS 7.6","6.6"" 1080x2408 pixels",50MP 1080p,4GB RAM Helio G35,5000mAh Li-Po
Xiaomi,"৳18,000.00","2022, September 09","Android 12, MIUI 13","6.58"" 1080x2408 pixels",50MP 1080p,4/6GB RAM Dimensity 700,5000mAh Li-Po
Lenovo,"৳55,000.00","2022, August 23","Android 12, ZUI 14","6.67"" 1080x2460 pixels",50MP 4320p,8-16GB RAM Snapdragon 8+ Gen 1,5100mAh Li-Po
Vivo,"৳16,999.00 ৳14,999.00","2022, September 01","Android 12, Funtouch 12","6.51"" 720x1600 pixels",13MP 1080p,3GB RAM Helio P35,5000mAh Li-Po
BLU,"৳6,000.00","2022, July",Android 11,"5.0"" 480x854 pixels",8MP 1080p,1GB RAM,2000mAh Li-Ion
BLU,"৳20,000.00","2022, July",Android 12,"6.5"" 720x1600 pixels",50MP 1080p,4GB RAM MT6765V,5000mAh Li-Po
Xiaomi,Coming soon,Not announced yet,Android 12,"6.67"" 1080x2400 pixels",64MP 3240p,8GB RAM Snapdragon 888 5G,5000mAh Li-Po
Xiaomi,Coming soon,Not announced yet,Android 12,"6.67"" 1080x2340 pixels",64MP 3240p,8GB RAM Dimensity 9000,4000mAh Li-Po
Xiaomi,"৳165,000.00","2022, August 26","Android 12, MIUI Fold 13","8.02"" 1914x2160 pixels",50MP 4320p,12GB RAM Snapdragon 8+ Gen 1,4500mAh Li-Po
Ulefone,"৳15,000.00","2022, July 16",Android 12,"5.0"" 720x1280 pixels",13MP 1080p,4GB RAM Helio A22,4000mAh Li-Po
BLU,"৳7,000.00","2022, July 07",Android 11,"6.5"" 720x1600 pixels",8MP 1080p,1GB RAM,4000mAh Li-Ion
BLU,"৳6,000.00","2022, July 07",Android 11,"6.1"" 720x1560 pixels",8MP 1080p,1GB RAM,3000mAh Li-Ion
Symphony,"৳12,490.00 ৳11,999.00","2022, July",Android 11,"6.52"" 720x1600 pixels",52MP1080p,4GB RAM Helio G25,5000mAh Li-Po
Honor,"৳25,000.00","2022, August 15","Android 11, Magic UI 4.2","6.5""720x1600 pixels",48MP 1080p,6GB RAM Snapdragon 480+ 5G,5000mAh Li-Po
OnePlus,"৳61,000.00 ৳59,000.00","2022, August 15","Android 12, ColorOS 12.1","6.7"" 1080x2412 pixels",50MP 2160p,12/16GB RAM Snapdragon 8+ Gen 1,4800mAh Li-Po
Samsung,"৳14,000.00 ৳12,500.00","2022, December 16","Android 12, One UI","6.5"" 720x1600 pixels",13MP 1080p,4GB RAM Helio P35,5000mAh Li-Ion
Oppo,Coming soon,Cancelled,"Android 11, ColorOS 11.2","6.59"" 1080x2412 pixels",64MP 2160p,12GB RAM Snapdragon 778G 5G,5000mAh Li-Po
Samsung,"৳48,699.00 ৳56,699.00","2023, March 24","Android 13, One UI 5.1","6.6"" 1080x2340 pixels",48MP 2160p,6/8GB RAM Dimensity 1080,5000mAh Li-Po
Samsung,Coming soon,Not announced yet,Android 11,"6.4"" 1080x2400 pixels",64MP 2160p,4-8GB RAM Snapdragon 720G,4500mAh Li-Po
ZTE,"৳20,000.00","2022, October 4","Android 12, ZTE MyOS","6.67"" 1080x2400 pixels",50MP 1080p,6GB RAM Unisoc UMS512T T618,4500mAh Li-Ion
ZTE,"৳30,000.00","2022, October 25","Android 12, MyOS 12","6.67"" 1080x2400 pixels",50MP 1080p,4GB RAM Unisoc UMS512T T618,4500mAh Li-Ion
Vivo,"৳16,000.00","2022, July 27","Android, Funtouch 12","6.58"" 1080x2408 pixels",50MP 1080p,4/6GB RAM Snapdragon 680 4G,5000mAh Li-Po
Oppo,"৳45,000.00","2022, June 11","Android 12, ColorOS 12.1","6.62"" 1080x2400 pixels",50MP 2160p,8/12GB RAM Snapdragon 7 Gen 1,4500mAh Li-Po
Oppo,"৳35,000.00","2022, June 01","Android 12, ColorOS 12.1","6.43"" 1080x2400 pixels",50MP 2160p,8/12GB RAM Dimensity 1300,4500mAh Li-Po
Infinix,"৳26,499.00","2022, July 18","Android 12, XOS 10.6","6.7"" 1080x2400 pixels",108MP 1440p,8GB RAM Helio G99,5000mAh Li-Po
BLU,Coming soon,"2022, July",Android 11,"6.82"" 720x1640 pixels",13MP 1080p,4GB RAM Unisoc Tiger T310,7700mAh Li-Po
Vivo,"৳12,599.00","2022, August 01","Android 12, Funtouch 12","6.51"" 720x1600 pixels",8MP 1080p,2/3GB RAM Helio P35,5000mAh Li-Po
ZTE,"৳50,000.00","2022, July 26","Android 12, MyOS 12","6.67"" 1080x2400 pixels",64MP 4320p,8-18GB RAM Snapdragon 8+ Gen 1,5000mAh Li-Ion
Infinix,"৳14,999.00","2022, October 13","Android 12, XOS 10.6","6.82"" 720x1640 pixels",50MP 1440p,6GB RAM Helio G85,5000mAh Li-Po
Samsung,"৳20,000.00","2022, July","Android 12, One UI 4.1","6.6"" 1080x2408 pixels",50MP 1080p,3/4GB RAM,5000mAh Li-Po
Honor,"৳30,000.00","2022, July 22","Android 12, Magic UI 6.1","6.7"" 1080x2388 pixels",50MP 1080p,8/12GB RAM Dimensity 700,4000mAh Li-Po
Vivo,"৳30,000.00","2022, July 11","Android 12, Origin OS Ocean","6.64"" 1080x2388 pixels",50MP 1080p,6-12GB RAM Dimensity 930,4500mAh Li-Po
ZTE,"৳35,000.00","2022, July 08",Android 11,"6.67"" 1080x2400 pixels",64MP 1080p,6GB RAM Unisoc Tiger T618,5100mAh Li-Po
Tecno,"৳75,000.00","2023, January 17","Android 12, HIOS 12","6.8"" 1080x2400 pixels",50MP 2160p,12GB RAM Dimensity 9000,5160mAh Li-Po
Tecno,"৳63,000.00","2023, January 09","Android 12, HIOS 12","6.8"" 1080x2400 pixels",64MP 2160p,4/8GB RAM Dimensity 9000,5160mAh Li-Po
Infinix,"৳50,000.00","2022, October 25","Android 12, XOS 12","6.8"" 1080x2400 pixels",200MP 2160p,8GB RAM Dimensity 920,4500mAh Li-Po
Lava,"৳12,000.00","2022, July 14",Android 12,"6.52"" 720x1600 pixels",13MP 1080p,3GB RAM Helio A22,5000mAh Li-Po
